district,candidate,party,total_votes,won
Georgia’s 10th district,Jody Hice,REP,235810,TRUE
Georgia’s 10th district,Tabitha Johnson-Green,DEM,142636,FALSE
Georgia’s 10th district, Write-ins,WRI,60,FALSE
Georgia’s 11th district,Barry Loudermilk,REP,245259,TRUE
Georgia’s 11th district,Dana Barrett,DEM,160623,FALSE
Georgia’s 12th district,Rick Allen,REP,181038,TRUE
Georgia’s 12th district,Liz Johnson,DEM,129061,FALSE
Georgia’s 12th district, Write-ins,WRI,0,FALSE
Georgia’s 13th district,David Scott,DEM,279045,TRUE
Georgia’s 13th district,Becky Hites,REP,81476,FALSE
Georgia’s 14th district,Marjorie Taylor Greene,REP,229827,TRUE
Georgia’s 14th district,Kevin Van Ausdal,DEM,77798,FALSE
Georgia’s 14th district, Write-ins,WRI,323,FALSE
